QUOTE_TRANSCRIPTION,URI,LAT,LNG
cabo de Buena Esperanza,http://sws.geonames.org/3367577,-34.35027,18.47909
Aprutino,http://sws.geonames.org/3174565,42.43104,13.98057
Téramo,http://dare.ht.lu.se/places/24637,42.65811461852,13.703109205849
Ormus,http://pleiades.stoa.org/places/462410,38.11564,13.3614059
Italia,http://pleiades.stoa.org/places/1052,42.5,12.5
Monteroso,http://sws.geonames.org/3172772,42.19698,12.30842
Main,http://pleiades.stoa.org/places/109168,49.994444,8.293333
Barcelona,http://sws.geonames.org/3128760,41.384106,2.175422
Maga,http://sws.geonames.org/3117706,41.90089,-2.16269
España,http://sws.geonames.org/2510769,40.2282293564645,-3.63906696458754
Benam,http://sws.geonames.org/2521132,36.83499,-4.19362
Málaga,http://sws.geonames.org/2514256,36.72016,-4.42034
Valladolid,http://sws.geonames.org/3106672,41.65518,-4.72372
Betis,http://dare.ht.lu.se/places/39485,37.876667,-4.778056
Gadalcavir,http://dare.ht.lu.se/places/39485,37.876667,-4.778056
Sevilla,http://sws.geonames.org/2510911,37.38283,-5.97317
Gioan Dalfarax,http://sws.geonames.org/2511329,37.35813,-6.03731
Coria,http://dare.ht.lu.se/places/31244,37.285041,-6.05183
San Lúcar,http://sws.geonames.org/2511306,36.77808,-6.3515
Sanlúcar,http://sws.geonames.org/2511306,36.77808,-6.3515
Nuestra Señora de Barrameda,http://dare.ht.lu.se/places/36999,36.77825,-6.35409
Man,http://sws.geonames.org/2284647,7.41251,-7.55383
cabo de San Vicente,http://dare.ht.lu.se/places/40797,37.02295,-8.9964
Guinea,http://sws.geonames.org/2420477,10.4344789270451,-10.9337968624655
Sierra Leona,http://sws.geonames.org/2403846,8.55989296324526,-11.7915493725854
Gran Canaria,http://sws.geonames.org/2515270,28.09973,-15.41343
Tenerife,http://sws.geonames.org/2511174,28.46824,-16.25462
Monte Rosso,http://sws.geonames.org/2511756,28.02696,-16.54898
San Jacobo,http://sws.geonames.org/3374199,15.08737,-23.62576
Cabo Verde,http://sws.geonames.org/3374766,15.9322569164884,-23.9578763480761
Cabo de San Agustín,http://sws.geonames.org/3392268,-8.32985206405081,-37.9937618919825
Tierra del Verzin,http://sws.geonames.org/3469034,-10.7706609996207,-53.0814983272531
tierra de Verzin,http://sws.geonames.org/3469034,-10.7706609996207,-53.0814983272531
tierras del Verzin,http://sws.geonames.org/3469034,-10.7706609996207,-53.0814983272531
Cabo de Santa María,http://sws.geonames.org/3442106,-32.71667,-55.6
Puerto de San Julián,http://sws.geonames.org/3840082,-49.30554,-67.72743
Cabo de las Once mil Vírgenes,http://sws.geonames.org/3832537,-52.33413,-68.35396
Estrecho Patagónico,http://sws.geonames.org/3845265,-53.9282,-71.10214
Chelin,http://www.hgis-indias.net/dokuwiki/doku.php?id=gazetteer:7000456,-42.601907,-73.516543
