"Land","Spa_gloss","Word","Language"
,"dios",,
,"mezquita",,
,"sacerdote",,
,"devoto",,
,"ceremonias",,
,"cristiano",,
,"idólatra",,
,"moro",,
,"turco",,
,"hombre",,
,"mujer",,
,"niño",,
,"nubil",,
,"casado",,
,"viejo",,
,"padre",,
,"madre",,
,"hijo",,
,"hermano",,
,"abuelo",,
,"suegro",,
,"yerno",,
,"primo",,
,"discípulo",,
,"amigo",,
,"enemigo",,
,"rey",,
,"reina",,
,"señor",,
,"esclavo",,
,"escribano",,
,"intérprete",,
,"alcahuete ",,
,"hombre adornado",,
,"grande",,
,"pequeña",,
,"cabeza",,
,"cabellos",,
,"frente",,
,"ojo",,
,"cejas",,
,"párpados",,
,"nariz",,
,"boca",,
,"labios",,
,"dientes",,
,"encías",,
,"lengua",,
,"lenguaje",,
,"palacio",,
,"barbilla",,
,"barba",,
,"bigotes",,
,"mandíbula",,
,"oreja",,
,"garganta",,
,"cuello",,
,"espaldas",,
,"lomo",,
,"pecho",,
,"corazón",,
,"senos",,
,"ombligo",,
,"estómago",,
,"cuerpo",,
,"partes del hombre",,
,"partes de la mujer",,
,"testículos",,
,"boto",,
,"nalgas",,
,"muslos",,
,"rodillas",,
,"piernas",,
,"hueso de la pierna",,
,"pantorrilla",,
,"tobillo",,
,"pie",,
,"talón",,
,"planta del pie",,
,"uña",,
,"sobaco",,
,"brazo",,
,"codo",,
,"mano",,
,"palma de la mano",,
,"dedo",,
,"pulgar",,
,"índice",,
,"dedo medio",,
,"anular",,
,"meñique",,
,"sangre",,
,"vena",,
,"pulso",,
,"piel",,
,"frío",,
,"caliente",,
,"gordo",,
,"flaco",,
,"bueno",,
,"elefante",,
,"caballo",,
,"búfalo",,
,"vaca",,
,"león",,
,"ciervo",,
,"cerdo",,
,"cabra",,
,"oveja",,
,"perro",,
,"liebre",,
,"gato",,
,"gato almizclero",,
,"rata",,
,"animal del almizcle",,
,"pájaro",,
,"oca",,
,"añade",,
,"gallo",,
,"gallina",,
,"huevo",,
,"carne",,
,"pez",,
,"pez rojo",,
,"pez de colores",,
,"cangrejo",,
,"carcoma",,
,"pólipo",,
,"sanguijuela",,
,"serpiente",,
,"abeja",,
,"cera",,
,"miel",,
,"trigo",,
,"panizo",,
,"mijo",,
,"trigo de",,
,"turquía",,
,"arroz",,
,"torta de arroz",,
,"nabo",,
,"patata",,
,"coco",,
,"banana",,
,"chiaccare (sic)",,
,"calabaza",,
,"melón",,
,"sandía",,
,"caíía de azúcar",,
,"vino",,
,"vinagre",,
,"aceite de coco",,
,"aceite de ajonjolí",,
,"naranja",,
,"ajo",,
,"jengibre",,
,"ruibarbo",,
,"pimienta redondel",,
,"manissa",,
,"pimienta larga",,
,"nuez moscada",,
,"clavo de especia",,
,"canela",,
,"civeta",,
,"sal",,
,"yerba venenosa",,
,"madera de los castores",,
,"dulce",,
,"amargo",,
,"vestidos",,
,"paño",,
,"seda",,
,"tela",,
,"una braza",,
,"medida",,
,"velo",,
,"gorra",,
,"camisa",,
,"sombrero",,
,"rojo",,
,"negro",,
,"blanco",,
,"verde",,
,"amarillo",,
,"el mismo",,
,"corto",,
,"igual",,
,"villa",,
,"castillo",,
,"casa",,
,"cojín",,
,"estera",,
,"marmita",,
,"plato de madera",,
,"plato de barro",,
,"cuba",,
,"escudilla",,
,"porcelana",,
,"cuchara",,
,"cuchillo",,
,"tijeras",,
,"peine",,
,"espejo",,
,"sortija",,
,"joya",,
,"perla",,
,"madreperla",,
,"cuentas de vidrio",,
,"cascabel",,
,"abanico",,
,"cornamusa",,
,"timbal",,
,"cuerda de violin",,
,"gotzap",,
,"aguja",,
,"hilo",,
,"martillo",,
,"clavo",,
,"mortero",,
,"pilón",,
,"balanzas",,
,"peso",,
,"cepos",,
,"horca",,
,"carta",,
,"papel",,
,"pluma",,
,"tintero",,
,"madera",,
,"anzuelo",,
,"cuerda",,
,"seda, pelo",,
,"cebo",,
,"red",,
,"cañita",,
,"caña",,
,"cerbatana",,
,"arco",,
,"flechas",,
,"carcaj",,
,"coraza",,
,"broquel",,
,"lanza",,
,"espada",,
,"estilete",,
,"manga",,
,"mundo",,
,"fuego",,
,"humo",,
,"ceniza",,
,"agua",,
,"sol",,
,"luna",,
,"estrellas",,
,"lluvia",,
,"trueno",,
,"río",,
,"año",,
,"mes",,
,"día",,
,"aurora",,
,"mañana",,
,"tarde",,
,"ayer",,
,"anteayer",,
,"mediodía",,
,"noche",,
,"marmita",,
,"puerto",,
,"tierra firme",,
,"isla",,
,"promontorio",,
,"montaña",,
,"barcos grandes",,
,"barquitos",,
,"navío",,
,"galera",,
,"lancha, bote",,
,"popa",,
,"proa",,
,"mástil",,
,"cofa",,
,"verga",,
,"vela",,
,"remo",,
,"ancla",,
,"cable",,
,"pabellón, bandera",,
,"bombarda",,
,"viento",,
,"norte",,
,"sur",,
,"este",,
,"oeste",,
,"nordeste",,
,"suroeste",,
,"noroeste",,
,"sureste",,
,"oro",,
,"plata",,
,"hierro",,
,"cobre",,
,"plomo",,
,"alambre",,
,"azogue",,
,"cinabrio",,
,"piedra",,
,"verdad",,
,"mentira",,
,"dolor",,
,"salud",,
,"beso",,
,"agalla",,
,"viruela",,
,"ahora",,
,"antes",,
,"¡buenos días!",,
,"(respuesta)",,
,"¡buenas tardes!",,
,"(respuesta)",,
,"sí",,
,"no",,
,"ciertamente",,
,"poco",,
,"mitad",,
,"mucho",,
,"aquí",,
,"allí",,
,"lejos",,
,"cuanto",,
,"uno",,
,"dos",,
,"tres",,
,"cuatro",,
,"cinco",,
,"seis",,
,"siete",,
,"ocho",,
,"nueve",,
,"diez",,
,"veinte",,
,"ciento",,
,"doscientos",,
,"mil",,
,"dos mil",,
,"diez mil",,
,"veinte mil",,
,"cien mil",,
,"doscientos mil",,
,"dos cosas",,
,"sentarse",,
,"tener",,
,"golpear",,
,"beber",,
,"cazar",,
,"cohabitar",,
,"combatir",,
,"comerciar",,
,"cocinar",,
,"coser",,
,"danzar",,
,"pedir",,
,"dar",,
,"dormir",,
,"escribir",,
,"oír",,
,"fatigar",,
,"gozar",,
,"levantar",,
,"comer",,
,"navegar",,
,"pagar",,
,"hablar",,
,"peinar",,
,"llevar",,
,"tomar",,
,"mirar",,
,"despertar",,
,"esquilar",,
,"matar",,
,"venir",,
,"robar",,
